CUS_CUST_ID,SIT_SITE_ID,restriccion,flag_trusted_seller,gmv_approved,gmv_claim,cashout,ratio_gmv_claim,ratio_co,flag_low_claims,flag_low_co,flag_ok_pu,SIT_GMV_90D,CUST_ID_GMV_90D,TAMAÑO
494294258,MLC,,1,3138668,217585,17178,0.07,0.08,1,1,1,521710726,3138668,0.00602
215299808,MLA,,1,7687577,571395,17987,0.07,0.03,1,1,1,1491140390,7789648,0.00522
197973038,MLC,,1,2491455,103505,8702,0.04,0.08,1,1,1,521710726,2522104,0.00483
270193032,MLC,,1,2458059,117023,9857,0.05,0.08,1,1,1,521710726,2488849,0.00477
582046359,MLC,,1,1950259,155317,8605,0.08,0.06,1,1,1,521710726,1968049,0.00377
318494504,MLA,,1,5518907,302994,18449,0.05,0.06,1,1,1,1491140390,5584968,0.00375
599454547,MLC,,1,1505910,86272,3611,0.06,0.04,1,1,1,521710726,1517494,0.00291
91896930,MCO,,1,306854,20744,856,0.07,0.04,1,1,1,111709499,311429,0.00279
538557915,MLC,,1,1332898,91801,2746,0.07,0.03,1,1,1,521710726,1349798,0.00259
251474130,MLC,,1,1269048,84179,5900,0.07,0.07,1,1,1,521710726,1280184,0.00245
258161576,MLC,,1,1242271,64698,429771,0.05,0.05,1,1,1,521710726,1255888,0.00241
413173645,MLC,,1,1229786,72460,5666,0.06,0.08,1,1,1,521710726,1241556,0.00238
462138795,MLC,,1,1093257,45513,1660,0.04,0.04,1,1,1,521710726,1103608,0.00212
91988078,MLA,,1,3063434,205812,7919,0.07,0.04,1,1,1,1491140390,3100931,0.00208
149996738,MCO,,1,222572,10547,397,0.05,0.04,1,1,1,111709499,225480,0.00202
2347789,MLA,,1,2953784,110848,3196,0.04,0.03,1,1,1,1491140390,2983367,0.002
157083473,MCO,,1,214863,10832,885,0.05,0.08,1,1,1,111709499,219885,0.00197
15177108,MLC,,1,1008179,54921,2155,0.05,0.04,1,1,1,521710726,1015643,0.00195
19009036,MLA,,1,2822883,185395,15038,0.07,0.08,1,1,1,1491140390,2848129,0.00191
364849855,MLC,,1,959279,67268,4533,0.07,0.07,1,1,1,521710726,967904,0.00186
325980561,MLC,,1,944982,47814,3660,0.05,0.08,1,1,1,521710726,953067,0.00183
176688303,MLC,,1,927126,72692,6159,0.08,0.08,1,1,1,521710726,938352,0.0018
622607175,MLC,,1,906780,56271,4044,0.06,0.07,1,1,1,521710726,916628,0.00176
1534239,MLA,,1,2444372,232169,4854,0.09,0.02,1,1,1,1491140390,2472581,0.00166
393200263,MCO,,1,180585,13453,0,0.07,0,1,1,1,111709499,182575,0.00163
302092471,MLC,,1,847838,68138,3613,0.08,0.05,1,1,1,521710726,851785,0.00163
